# Wed Mar 14 17:05:55 2012
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

25200 25 2.02945 38 0.376757 0.777226 
25300 24 2.12812 40 0.398303 0.828746 
25400 27 2.15933 42 0.428346 0.880271 
25500 23 2.12369 39 0.40662 0.840075 
25600 26 2.08552 41 0.387888 0.804507 
25700 26 1.9924 39 0.374106 0.769687 
25800 28 2.03165 38 0.38977 0.793306 
25900 28 2.07517 39 0.402512 0.81562 
26000 27 2.06687 38 0.401658 0.808937 
26100 27 2.0231 42 0.373165 0.758025 
26200 26 1.9548 41 0.359156 0.728067 
26300 27 1.94331 42 0.352452 0.714507 
26400 26 1.81139 38 0.331131 0.669315 
26500 25 1.76871 38 0.327056 0.656183 
26600 28 1.70587 41 0.309331 0.621776 
26700 32 1.64737 42 0.290035 0.583258 
26800 25 1.43458 38 0.253227 0.507508 
26900 27 1.33451 37 0.225418 0.458013 
27000 27 1.22508 33 0.21572 0.431407 
27100 28 1.07391 30 0.17925 0.360245 
27200 28 0.893144 31 0.148816 0.295933 
27300 28 0.808148 31 0.137947 0.271612 
27400 23 0.726564 24 0.12059 0.238827 
27500 22 0.745142 24 0.122171 0.241852 
27600 22 0.729606 23 0.111575 0.222253 
27700 21 0.685881 23 0.103589 0.205423 
27800 17 0.613572 19 0.0843314 0.17057 
27900 21 0.599864 24 0.0762006 0.158708 
28000 24 0.626522 26 0.0743669 0.157549 
28100 18 0.598078 21 0.0704608 0.150794 
28200 18 0.531532 23 0.0621905 0.131871 
28300 17 0.500549 20 0.0561025 0.120246 
28400 17 0.528576 23 0.0619942 0.131305 
28500 17 0.508922 19 0.0636504 0.132081 
28600 19 0.470216 21 0.0577965 0.12043 
28700 15 0.408289 17 0.0473212 0.100959 
28800 16 0.393958 18 0.0440073 0.0947341 
28900 16 0.351168 17 0.0393288 0.0833333 
29000 14 0.306527 16 0.0354214 0.0747863 
29100 13 0.294992 14 0.0356797 0.0751323 
29200 15 0.321292 15 0.0414366 0.085999 
29300 14 0.349339 16 0.0437703 0.0921466 
29400 12 0.347212 12 0.0446555 0.0936359 
29500 14 0.328373 14 0.0405093 0.0846214 
29600 13 0.316159 14 0.0380375 0.0802632 
29700 13 0.304248 14 0.0363287 0.0763399 
29800 11 0.282504 13 0.0315839 0.0676867 
29900 9 0.238917 10 0.025275 0.0542575 
30000 11 0.252606 12 0.0255396 0.0550196 
30100 11 0.263941 12 0.0286758 0.060057 
30200 11 0.286555 13 0.0307693 0.0643245 
30300 13 0.278632 14 0.0290954 0.0610766 
30400 11 0.295228 14 0.0328098 0.0678314 
30500 14 0.26726 17 0.0302907 0.0617125 
30600 13 0.31107 16 0.0356248 0.0733213 
30700 13 0.358362 15 0.0473665 0.094647 
30800 12 0.407707 15 0.0549319 0.11025 
30900 12 0.466 15 0.0592503 0.122566 
31000 12 0.514969 14 0.0649991 0.135469 
31100 12 0.49476 14 0.0601779 0.127105 
31200 10 0.525138 12 0.0668456 0.141022 
31300 10 0.550416 15 0.0647074 0.141183 
31400 12 0.580525 15 0.0702914 0.152112 
